Repetition,Model,Accuracy,F1,Recall,Precision
1,GB,0.9715,0.9723740313550024,0.9715,0.9797619047619047
1,KNN,0.994,0.99375,0.994,0.9947619047619047
1,LR,0.958,0.9572872147599506,0.958,0.9589087560653553
1,PW,0.9099999999999999,0.9111225632954509,0.9099999999999999,0.927495365674394
2,GB,0.9695,0.9697502800693041,0.9695,0.9785636950782614
2,KNN,0.9945,0.9944739189208842,0.9945,0.9946742175130922
2,LR,0.961,0.9604442424411465,0.961,0.9618151215829235
2,PW,0.9189999999999999,0.920122844934381,0.9189999999999999,0.9339629060347528
3,GB,0.9644999999999999,0.9656729808661773,0.9644999999999999,0.9737664440822336
3,KNN,0.993,0.9926515513615382,0.993,0.9935714285714285
3,LR,0.962,0.9612465808467092,0.962,0.9629887843494653
3,PW,0.9174999999999999,0.9197621061706055,0.9174999999999999,0.9384244724928097
4,GB,0.9674999999999999,0.968929388706252,0.9674999999999999,0.9791388676682795
4,KNN,0.991,0.990805008566241,0.991,0.9908332060096766
4,LR,0.958,0.9571223283417062,0.958,0.9577154297819259
4,PW,0.9164999999999999,0.917984214783008,0.9164999999999999,0.933603207575243
5,GB,0.9685,0.9689403785631001,0.9685,0.9759419477664384
5,KNN,0.9949999999999999,0.9949480925578487,0.9949999999999999,0.9949423558897242
5,LR,0.9615,0.9606643220082184,0.9615,0.9618114865459393
5,PW,0.9145,0.9155674853990291,0.9145,0.9283936925339032
6,GB,0.968,0.9682949000839962,0.968,0.9739816849816851
6,KNN,0.992,0.9917378596890843,0.992,0.992694986173247
6,LR,0.962,0.961474079852457,0.962,0.9629618921557943
6,PW,0.9109999999999999,0.9125535791331915,0.9109999999999999,0.9275092741009734
7,GB,0.969,0.9709736381816061,0.969,0.9802497412008282
7,KNN,0.9890000000000001,0.9889182039264137,0.9890000000000001,0.9890423522574553
7,LR,0.9594999999999999,0.9585669606349743,0.9594999999999999,0.9602651691666196
7,PW,0.9095000000000001,0.9096733623291146,0.9095000000000001,0.925292813200063
8,GB,0.9685,0.9698765533758558,0.9685,0.9793275156216333
8,KNN,0.992,0.9919084902133684,0.992,0.9922813852813853
8,LR,0.9629999999999999,0.9620287381200591,0.9629999999999999,0.9645750241940847
8,PW,0.915,0.9146609425140724,0.915,0.9319230918782339
9,GB,0.9650000000000001,0.9663561752819299,0.9650000000000001,0.9736823593073594
9,KNN,0.9884999999999999,0.9883197024587298,0.9884999999999999,0.9885875447016751
9,LR,0.9605,0.9597279976415921,0.9605,0.9615467588359803
9,PW,0.915,0.9155773273693495,0.915,0.9305284570315194
10,GB,0.9724999999999999,0.9735900739195913,0.9724999999999999,0.9812902634089076
10,KNN,0.991,0.9908226556326387,0.991,0.9909083850931678
10,LR,0.9615,0.9608115212835188,0.9615,0.9619275953290962
10,PW,0.917,0.9181683642677019,0.917,0.9327362717934463
11,GB,0.967,0.96777485202842,0.967,0.975003048594598
11,KNN,0.99,0.9899865540963102,0.99,0.9900213032581453
11,LR,0.9550000000000001,0.9541641911149181,0.9550000000000001,0.9557241173634698
11,PW,0.9095000000000001,0.910212471877465,0.9095000000000001,0.9255298083260124
12,GB,0.9705,0.9716744319229909,0.9705,0.9789266151593589
12,KNN,0.9894999999999999,0.9892704219899342,0.9894999999999999,0.9892305194805194
12,LR,0.961,0.9603348435343241,0.961,0.9613885933057087
12,PW,0.9155,0.9170903405908376,0.9155,0.9352052692977558
13,GB,0.966,0.9675850458853376,0.966,0.9769042281918994
13,KNN,0.991,0.9907820208014716,0.991,0.991527972027972
13,LR,0.9555,0.9545541014661356,0.9555,0.9555730572653441
13,PW,0.9115,0.9137649588183662,0.9115,0.9298289734374912
14,GB,0.9675,0.9684828613121297,0.9675,0.9755485588972432
14,KNN,0.9880000000000001,0.9879044404461605,0.9880000000000001,0.9882209785828208
14,LR,0.9595,0.9584681547602001,0.9595,0.9607174306377428
14,PW,0.9129999999999999,0.9136707697636492,0.9129999999999999,0.92855733036575
15,GB,0.9664999999999999,0.9671659123075514,0.9664999999999999,0.9747671178586671
15,KNN,0.9925,0.9922539918235758,0.9925,0.9926122123490545
15,LR,0.9625,0.9618165000161149,0.9625,0.9633805212675182
15,PW,0.916,0.917587413349314,0.916,0.9348425609268931
16,GB,0.9710000000000001,0.9719718177154031,0.9710000000000001,0.9805432900432901
16,KNN,0.9914999999999999,0.991438981937564,0.9914999999999999,0.9916355017979732
16,LR,0.962,0.961441512821129,0.962,0.9627028181843433
16,PW,0.9225,0.9222940505833948,0.9225,0.9339106952817673
17,GB,0.9635,0.9643294280802392,0.9635,0.9721943734015346
17,KNN,0.99,0.989824852939102,0.99,0.9898528138528139
17,LR,0.9574999999999999,0.9567520419666582,0.9574999999999999,0.958488125442258
17,PW,0.914,0.914515846027894,0.914,0.928216765098021
18,GB,0.967,0.9680121024400388,0.967,0.9781890331890333
18,KNN,0.9904999999999999,0.990207808451711,0.9904999999999999,0.9902918660287081
18,LR,0.9584999999999999,0.9575642200511144,0.9584999999999999,0.9595158989224981
18,PW,0.9109999999999999,0.9127959380002192,0.9109999999999999,0.9285380338130036
19,GB,0.9635,0.9641082524206439,0.9635,0.9717961264317934
19,KNN,0.99,0.9895711354336456,0.99,0.9900107925890534
19,LR,0.9584999999999999,0.9579885095100786,0.9584999999999999,0.9596043801231747
19,PW,0.9129999999999999,0.9141858144430317,0.9129999999999999,0.9286889418238692
20,GB,0.9644999999999999,0.9656366216916602,0.9644999999999999,0.9737344112286064
20,KNN,0.9894999999999999,0.9892719672283216,0.9894999999999999,0.9894956709956709
20,LR,0.9550000000000001,0.9541596738359732,0.9550000000000001,0.956060702451704
20,PW,0.9099999999999999,0.9115657289084309,0.9099999999999999,0.9294222591293761
21,GB,0.9655000000000001,0.9681817712836365,0.9655000000000001,0.9818239042095712
21,KNN,0.9904999999999999,0.9903987877761947,0.9904999999999999,0.9905209235209235
21,LR,0.9615,0.9610205859395787,0.9615,0.9626998253742937
21,PW,0.914,0.9158206828430396,0.914,0.9326928664674492
22,GB,0.9644999999999999,0.9657349791151851,0.9644999999999999,0.9762079244955958
22,KNN,0.9925,0.992447462141166,0.9925,0.9926630573177887
22,LR,0.961,0.9605794894809284,0.961,0.9617631243642315
22,PW,0.9129999999999999,0.9150407062427929,0.9129999999999999,0.9323436984094711
23,GB,0.9675,0.9685230130512634,0.9675,0.9767477570738441
23,KNN,0.9890000000000001,0.9889349272792864,0.9890000000000001,0.9894252933057281
23,LR,0.9625,0.9621569175503707,0.9625,0.9631711341633942
23,PW,0.9105000000000001,0.9120557273196044,0.9105000000000001,0.9311018654917739
24,GB,0.968,0.9690594524477708,0.968,0.9796348651348652
24,KNN,0.9894999999999999,0.9892565034584619,0.9894999999999999,0.9894692028985507
24,LR,0.961,0.9603593178102388,0.961,0.9619709904071192
24,PW,0.9115,0.9119217237091892,0.9115,0.9266827700380265
25,GB,0.9710000000000001,0.9723074680006644,0.9710000000000001,0.9815611471861472
25,KNN,0.9904999999999999,0.99029247144959,0.9904999999999999,0.9902922908293753
25,LR,0.962,0.9613852213076621,0.962,0.9624964353746492
25,PW,0.909,0.9096972483520485,0.909,0.9218371118238011
26,GB,0.9640000000000001,0.9659983150227053,0.9640000000000001,0.9779589598997493
26,KNN,0.9884999999999999,0.9884597622209945,0.9884999999999999,0.9890130272204576
26,LR,0.9560000000000001,0.9553580578042016,0.9560000000000001,0.9570890644194252
26,PW,0.9109999999999999,0.9125092942805996,0.9109999999999999,0.9284521355034041
27,GB,0.9734999999999999,0.973653762036115,0.9734999999999999,0.9795238095238096
27,KNN,0.99,0.9896584001584001,0.99,0.9894873346467774
27,LR,0.959,0.9582036135189078,0.959,0.9599113567068878
27,PW,0.916,0.9165427517858437,0.916,0.9338987679546618
28,GB,0.969,0.9698230289012786,0.969,0.9777380952380952
28,KNN,0.9914999999999999,0.9912179422876853,0.9914999999999999,0.9919542124542124
28,LR,0.96,0.9592515533862125,0.96,0.9615147594418862
28,PW,0.909,0.9101375497321584,0.909,0.9267636819948987
29,GB,0.9715,0.9718411561635831,0.9715,0.9859161926108928
29,KNN,0.9925,0.9923788365790636,0.9925,0.9924857660455487
29,LR,0.966,0.9654827437610374,0.966,0.9665603091905925
29,PW,0.9135,0.9145134759430029,0.9135,0.9301953135162329
30,GB,0.9650000000000001,0.9659438940580676,0.9650000000000001,0.9730775530375233
30,KNN,0.9914999999999999,0.9913890774364399,0.9914999999999999,0.991506871398445
30,LR,0.9584999999999999,0.9575803283664206,0.9584999999999999,0.9588301897209893
30,PW,0.906,0.9073046161733416,0.906,0.927038891185765
